stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel
0,0,0,696.9796004480031,1.625213321419944,0.6190785747425991,0.3809214252574,438.0441379197968,269.53024082837254,86.40614161552367,8.406955844770382,42.07824660018343,696.9796004480031,2021-01-13T12:13:18Z,2021-01-13T07:16:48Z,1,3
0,0,0,684.9656637440418,2.291810201538589,0.696215778317777,0.303784221682222,622.9860505171602,271.83143268099747,88.28829444690874,8.73091692829412,57.53208238535816,684.9656637440418,2021-01-13T12:14:18Z,2021-01-13T07:17:18Z,1,3
1,0,0,683.3068415753078,1.080437249617655,0.5193318134523011,0.48066818654769805,822.9988001829902,761.7275325098542,88.50822907020745,9.284188220017931,58.06670750877939,683.3068415753078,2021-01-13T12:15:18Z,2021-01-13T07:17:48Z,1,3
1,0,0,682.3086576295128,1.060752301819515,0.514740321232657,0.48525967876734205,1060.8602222927275,1000.1017395607123,88.63199605161435,9.47355221653736,57.82566272077583,682.3086576295128,2021-01-13T12:16:18Z,2021-01-13T07:18:18Z,3,3
0,0,0,677.5043712629952,1.59844887082294,0.61515502143273,0.384844978567269,943.6871845908175,590.3768345777444,89.22434783083526,9.361692412643675,56.10234186153508,677.5043712629952,2021-01-13T12:17:18Z,2021-01-13T07:18:48Z,1,3
1,0,0,674.7904956677979,1.529980260052969,0.6047399990468451,0.39526000095315506,584.6781147623091,382.1474891068641,89.78548097745804,9.628213156675333,63.434673061389624,674.7904956677979,2021-01-13T12:18:18Z,2021-01-13T07:19:18Z,1,3
1,0,0,685.9484169419185,1.219608036235097,0.5494700038587881,0.45052999614121103,742.0511607393239,608.4341351423195,88.10007230033906,9.954615761432413,57.30057925737144,685.9484169419185,2021-01-13T12:19:18Z,2021-01-13T07:19:48Z,1,3
2,0,0,673.5594232761227,0.631274959386391,0.38698255971749,0.613017440282509,1143.205807911725,1810.9474974628147,89.71502021056043,9.554962307651842,56.337189231822684,673.5594232761227,2021-01-13T12:20:18Z,2021-01-13T07:20:18Z,1,3
2,0,0,655.2070650246893,0.669544278936212,0.40103415487897504,0.598965845121024,1274.9464644696127,1904.2003711767604,92.41522510798684,9.391278908014511,62.91962193088312,655.2070650246893,2021-01-13T12:21:18Z,2021-01-13T07:20:48Z,1,3
1,0,0,635.0966340391675,1.188566947183013,0.543080004343875,0.456919995656124,857.8582769982412,721.7584832149547,95.4774541753449,8.884569327492171,66.98976159831757,635.0966340391675,2021-01-13T12:22:18Z,2021-01-13T07:21:18Z,1,3
2,0,0,606.5586050777193,1.168615506221846,0.538876302815801,0.46112369718419804,503.95049527048724,431.2372141113956,100.56028281904418,8.305539500074177,77.84417158320812,606.5586050777193,2021-01-13T12:23:18Z,2021-01-13T07:21:48Z,3,3
3,0,0,574.8518907755982,0.6730220401708851,0.40227924319642605,0.5977207568035731,323.52002910040227,480.6975251780136,105.84319894119933,6.778528475413908,67.0737534401235,574.8518907755982,2021-01-13T12:24:18Z,2021-01-13T07:22:18Z,3,3
3,0,0,552.051854484412,0.21855637665504601,0.17935680354403102,0.8206431964559681,136.65970823047383,625.2835553097034,109.75080621485284,7.571768097266857,54.0413683219262,552.051854484412,2021-01-13T12:25:18Z,2021-01-13T07:22:48Z,1,3
