stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel,stress_levels_1,stress_levels_2,new_stress_score
0,0,0,649.9565882825498,2.17341136151825,0.684881697933553,0.315118302066446,333.5042038061662,153.44734536272722,92.61638153883148,7.348841247698463,38.081775493089374,649.9565882825498,2021-01-13T06:15:18Z,2021-01-13T04:17:48Z,1,3,2.0,0.0,0.3888888888888889
1,0,0,648.7572591099051,1.425667023556765,0.5877422621124241,0.412257737887575,690.5477417772333,484.3681802041329,92.77729185724884,7.501553550629269,37.54519522293238,648.7572591099051,2021-01-13T06:16:18Z,2021-01-13T04:18:18Z,1,3,2.0,0.0,0.3888888888888889
1,0,0,652.0917279368261,1.187957625363846,0.542952757216353,0.457047242783646,1033.7905782436194,870.225129391287,92.31536506758036,7.688296878043737,38.35176851130911,652.0917279368261,2021-01-13T06:17:18Z,2021-01-13T04:18:48Z,1,3,2.0,0.0,0.3888888888888889
1,0,0,662.4759492047693,1.272640320996717,0.559983165500897,0.440016834499102,618.5009927053084,485.9982687181447,90.91671744498048,8.193198390513594,41.79737271096221,662.4759492047693,2021-01-13T06:18:18Z,2021-01-13T04:19:18Z,1,3,2.0,0.0,0.3888888888888889
0,0,0,661.458898466968,2.121015691940782,0.679591486008147,0.320408513991852,452.9872451683241,213.5709070373871,91.0958890817522,8.311283086678124,43.96705472794008,661.458898466968,2021-01-13T06:19:18Z,2021-01-13T04:19:48Z,1,3,2.0,0.0,0.3888888888888889
1,0,0,659.2165238439552,1.304107198217456,0.5659924152948971,0.434007584705102,607.2440533858397,465.6396761062761,91.35661774869077,7.17471786005039,40.67313852242329,659.2165238439552,2021-01-13T06:20:18Z,2021-01-13T04:20:18Z,1,3,2.0,0.0,0.3888888888888889
2,0,0,660.1390820509108,0.667876162525129,0.400435102756057,0.599564897243942,561.4986001604376,840.7226244420883,91.21170817378024,7.089918293569216,39.60313007106976,660.1390820509108,2021-01-13T06:21:18Z,2021-01-13T04:20:48Z,1,3,2.0,2.0,0.6666666666666666
2,0,0,653.5009404893466,0.6301885256463291,0.386574016276108,0.613425983723891,366.3015177072591,581.2570410284377,92.2146462419042,7.555137090464112,43.53229244654391,653.5009404893466,2021-01-13T06:22:18Z,2021-01-13T04:21:18Z,1,3,2.0,2.0,0.6666666666666666
2,0,0,645.5421015545015,0.863400891812627,0.463346827623739,0.5366531723762601,355.614363857976,411.8762989825013,93.38830956783646,7.103028983294326,44.51255697161393,645.5421015545015,2021-01-13T06:23:18Z,2021-01-13T04:21:48Z,1,3,2.0,1.0,0.5277777777777778
2,0,0,644.7059123811746,0.698101056029648,0.411106897054694,0.5888931029453051,485.2014406390128,695.0303776913445,93.45917050289349,6.957604241590024,41.63513647995434,644.7059123811746,2021-01-13T06:24:18Z,2021-01-13T04:22:18Z,1,3,2.0,2.0,0.6666666666666666
2,0,0,639.0134674585912,0.699446160655213,0.41157300351636,0.588426996483639,480.6046518858375,687.1217241876435,94.3159232335536,7.108486338230777,42.94475830948897,639.0134674585912,2021-01-13T06:25:18Z,2021-01-13T04:22:48Z,1,3,2.0,2.0,0.6666666666666666
2,0,0,637.8818760857558,0.894663433665951,0.472201773554516,0.527798226445484,482.9792648105741,539.8446461945248,94.56607243816008,7.685082106077604,47.32002362268201,637.8818760857558,2021-01-13T06:26:18Z,2021-01-13T04:23:18Z,1,3,2.0,1.0,0.5277777777777778
2,0,0,641.5348504415928,0.844115190813536,0.457734524946434,0.542265475053565,681.1246110101177,806.9095526567494,94.10068985690286,8.065588197077327,50.75282422704074,641.5348504415928,2021-01-13T06:27:18Z,2021-01-13T04:23:48Z,1,3,2.0,1.0,0.5277777777777778
2,0,0,647.120868298968,0.905875393076382,0.475306725910426,0.524693274089573,972.9446007188168,1074.0380058394844,93.23796015018247,8.680163243362918,48.879407331422144,647.120868298968,2021-01-13T06:28:18Z,2021-01-13T04:24:18Z,1,3,2.0,1.0,0.5277777777777778
